ingredient,recommend menu,available
กุ้งก้ามกราม 415 บาท/กิโล,กุ้งก้ามกรามผัดซอสพริกเผาไข่เค็ม,
กุ้งลายเสือ 890 บาท/กิโล,"กุ้งเผา, ผัดหมี่กระเฉดกุ้งสด, กุ้งย่างซอสมะขามและสลัดผักนึ่งนมสด",
กุ้งมังกรเจ็ดสี 1290 บาท/กิโล,"กุ้งมังกรเผาเนย, กุ้งมังกรย่างเนยกระเทียม",
กุ้งล็อบเตอร์ 1890 บาท/กิโล,"กุ้งล็อบเตอร์เผา, ต็อกบกกีราดชีสล็อบเตอร์",
กุ้งแช่บ๊วย 529 บาท/กิโล,"กุ้งแช่บ๊วยทอดครีมสลัด, กุ้งอบวุ้นเส้น",
กุ้งขาว 269 บาท/กิโล,"กุ้งดองซีอิ๊ว, กุ้งแช่น้ำปลา",
กุ้งโอคัก 260 บาท/กิโล,ติ่มซำกุ้งโอคัก,
