ingredient,recommend menu,available
ปลาหมึกสาย,"ปลาหมึกสายผัดซอสโคชูจัง, หมึกสายต้มน้ำจิ้มซีฟู้ด",
ไข่ปลาหมึก,"ไข่ปลาหมึกผัดพริกเผา, ต้มยำไข่หมึกน้ำขั้น",
หมึกกระดอง,"แกงเขียวหวานปลาหมึกกระดองยัดไส้กุ้ง, ต้มโคล้งปลาหมึก",
หมึกกล้วย,"สปาเกตตี้พะแนงปลาหมึกกล้วย, หมึกกล้วยผัดหม่าล่า, ยำหมึกกล้วย",
หมึกกรอบ,"เส้นหมี่คั่วหมูปลาหมึกกรอบ, เกี๊ยวปลาหมึกกรอบเย็นตาโฟ",
