ingredient,recommend menu,available
ปูม้า 390 บาท/กิโล,"ยำมะม่วงปูม้าไข่แดงเค็ม, ปูม้านึ่งเครื่องเทศโอลด์เบย์",
ปูอะลาสก้า 1790 บาท/กิโล,"ปูอะลาสก้ากับซอสพริกสไตล์สิงคโปร์, ขาปูอะลาสกากับน้ำสลัดส้มยูซุ",x
ปูทาราบะ 2990 บาท/กิโล,ขาปูทาราบะราดซอสพริกแกงมะพร้าว,x
ปูดำ 559 บาท/กิโล,ปูดำผัดผงกระหรี่,x
ปูแสม 219 บาท/กิโล,ปูแสมดองอบซอสพริกไทย,x
ปูจั๊กจั่น 269 บาท/กิโล,ปูจั๊กจั่นอบวุ้นเส้นและเบียร์ช้างในหม้อดิน,
ปูชัก 450 บาท/กิโล,ปูชักผัดกะทิ,x
ปูไข่ 690 บาท/กิโล,"ปูไข่นึ่งนมสด, ปูไข่ดองซีอิ๊วเกาหลี",x
ปูทองหลาง 490 บาท/กิโล,ปูทองหลางนึ่งซอสไข่ขาวกับเก๋ากี้,
