ingredient,recommend menu,available
ปลาแซลม่อน 990 บาท/กิโล,"ปลาแซลม่อนคั่วใบแมงลัก, ฉู่ฉี่แซลม่อน, ปลาแซลม่อนแช่บ๊วย, ยำแซลม่อน",
ปลาซาบะ 329 บาท/กิโล,"ปลาซาบะเทอริยากิ, แกงไตปลาซาบะ, ข้าวหน้าปลาซาบะภูเขาไฟ",
ปลากระเบน 689 บาท/กิโล,"ปลากระเบนราดพริกย่างใบตอง, คั่วพริกปลากระเบนกับใบยี่หร่า",
ปลาแมคเคอเรล 650 บาท/กิโล,"ผัดคะน้าทอดกรอบปลาแมคเคอเรล, สลัดปลาแมคเคอเรล",
ปลาซาร์ดีน 425 บาท/กิโล,"ซูชิปลาซาร์ดีน, ปลาซาร์ดีนย่างคาบายากิ",
ปลาจะระเม็ด 415 บาท/กิโล,"ซาชิมิปลาจะระเม็ด, จาระเม็ดเจี๋ยนบ๊วย",
ปลาโซล 1450 บาท/กิโล,ปลาโซลอลาสก้าอบเกล็ดขนมปังและอัลมอนด์กรอบ,
ปลาเก๋า 940 บาท/กิโล,แกงเหลืองปลาเก๋าสัปปะรด,
ปลาทูน่า 829 บาท/กิโล,"ยำปลาทูน่าทอดเห็ดหูหนู, ปลาทูน่ามินิเบอร์เกอร์",
